"Tanaka 90, Specimen 4"	
-4.00928	-28.14924
-4.37376	-30.94227
-4.73824	-33.71306
-5.10272	-36.46462
-5.4672	-39.19326
-5.83168	-41.90926
-6.19616	-44.60119
-6.56064	-47.27027
-6.92512	-49.90828
-7.2896	-52.49135
-7.65408	-54.98184
-8.01856	-57.32619
-8.38304	-59.45743
-8.74752	-61.30282
-9.112	-62.7951
-8.74752	-59.79432
-8.38304	-56.8008
-8.01856	-53.81348
-7.65408	-50.84387
-7.2896	-47.89304
-6.92512	-44.96221
-6.56064	-42.04629
-6.19616	-39.13603
-5.83168	-36.24164
-5.4672	-33.35254
-5.10272	-30.47534
-4.73824	-27.61043
-4.37376	-24.76868
-4.00928	-21.95553
-3.6448	-19.18007
-3.28032	-16.45117
-2.91584	-13.78925
-2.55136	-11.20642
-2.18688	-8.71897
-1.8224	-6.35369
-1.45792	-4.24483
-1.09344	-2.42509
-0.72896	-0.86066449
-0.36448	0.41570315
-9.1937404e-12	1.65465
0.544	3.40517
1.088	5.67803
1.632	9.02618
2.176	12.66486
2.72	16.88859
3.264	21.10787
3.808	25.29954
4.352	29.45636
4.896	33.57217
5.44	37.64843
5.984	41.6874
6.528	45.67862
7.072	49.6118
7.616	53.42145
8.16	56.96822
8.704	60.04193
9.248	62.43276
9.792	64.10963
10.336	65.24707
10.88	66.11658
11.424	66.86404
11.968	67.46431
12.512	67.95992
13.056	68.28722
13.6	68.51406
13.056	63.99694
12.512	59.76603
11.968	55.42852
11.424	51.11497
10.88	46.82081
10.336	42.54206
9.792	38.26383
9.248	33.9864
8.704	29.71391
8.16	25.4604
7.616	21.25723
7.072	17.12218
6.528	13.10546
5.984	9.25732
5.44	5.65349
4.896	2.4244
4.352	-0.11046607
3.808	-2.08395
3.264	-3.72535
2.72	-5.27003
2.176	-6.73358
1.632	-8.10965
1.088	-9.39494
0.544	-10.58937
1.4881604e-11	-11.6958
-0.544	-12.71924
-1.088	-13.66591
-1.632	-14.54271
-2.176	-17.79285
-2.72	-19.57994
-3.264	-22.66415
-3.808	-25.2433
-4.352	-30.63545
-4.896	-34.69578
-5.44	-38.70947
-5.984	-42.67729
-6.528	-46.56932
-7.072	-50.327
-7.616	-53.86453
-8.16	-57.06615
-8.704	-59.80174
-9.248	-61.95427
-9.792	-63.47151
-10.336	-64.51817
-10.88	-65.36562
-11.424	-66.10372
-11.968	-66.70829
-12.512	-67.12043
-13.056	-67.47229
-13.6	-67.76463
-13.056	-63.19486
-12.512	-59.08332
-11.968	-54.77036
-11.424	-50.46854
-10.88	-46.17924
-10.336	-41.91129
-9.792	-37.64369
-9.248	-33.39071
-8.704	-29.15563
-8.16	-24.97317
-7.616	-20.86068
-7.072	-17.02952
-6.528	-13.48906
-5.984	-10.26388
-5.44	-7.23801
-4.896	-4.55805
-4.352	-2.34784
-3.808	-0.52444812
-3.264	1.19761
-2.72	2.86686
-2.176	4.47191
-1.632	6.00253
-1.088	7.44947
-0.544	8.80535
-1.6041216e-11	10.06552
0.544	11.22849
1.088	12.29588
1.632	13.27194
2.176	14.16276
2.72	14.9754
3.264	15.72671
3.808	17.20312
4.352	19.38406
4.896	24.53953
5.44	28.51172
5.984	32.40162
6.528	36.18203
7.072	39.83566
7.616	43.32454
8.16	46.62689
8.704	49.72265
9.248	52.5952
9.792	55.23441
10.336	57.63355
10.88	59.78305
11.424	61.67145
11.968	63.28699
12.512	64.63092
13.056	65.69225
13.6	66.52455
13.056	61.85839
12.512	57.90867
11.968	53.63034
11.424	49.36477
10.88	45.11976
10.336	40.89691
9.792	36.67951
9.248	32.47964
8.704	28.30519
8.16	24.19101
7.616	20.20024
7.072	16.51669
6.528	13.16911
5.984	9.99139
5.44	7.0096
4.896	4.37318
4.352	2.2453
3.808	0.44742182
3.264	-1.28471
2.72	-2.96487
2.176	-4.58256
1.632	-6.12738
1.088	-7.58978
0.544	-8.9619
1.7200819e-11	-10.23849
-0.544	-11.41743
-1.088	-12.49975
-1.632	-13.48923
-2.176	-14.39171
-2.72	-15.21423
-3.264	-15.95412
-3.808	-18.15727
-4.352	-21.3944
-4.896	-25.39175
-5.44	-29.35054
-5.984	-33.2057
-6.528	-36.95319
-7.072	-40.55246
-7.616	-43.98609
-8.16	-47.21446
-8.704	-50.23976
-9.248	-53.04146
-9.792	-55.61337
-10.336	-57.94817
-10.88	-60.03497
-11.424	-61.87231
-11.968	-63.44552
-12.512	-64.76395
-13.056	-65.85739
-13.6	-66.67013
-13.056	-62.20746
-12.512	-58.05294
-11.968	-53.77172
-11.424	-49.50038
-10.88	-45.24621
-10.336	-41.01134
-9.792	-36.77806
-9.248	-32.56085
-8.704	-28.36872
-8.16	-24.23806
-7.616	-20.23445
-7.072	-16.50811
-6.528	-13.1125
-5.984	-9.90227
-5.44	-6.92879
-4.896	-4.322
-4.352	-2.19254
-3.808	-0.39491736
-3.264	1.33381
-2.72	3.01013
-2.176	4.62345
-1.632	6.16348
-1.088	7.62081
-0.544	8.98778
-1.8360422e-11	10.25937
0.816	11.98468
1.632	13.49817
2.448	14.8177
3.264	15.97627
4.08	18.47804
4.896	24.27466
5.712	30.16257
6.528	35.84499
7.344	41.22421
8.16	46.2241
8.976	50.72944
9.792	54.75495
10.608	58.25513
11.424	61.18441
12.24	63.54097
13.056	65.32122
13.872	66.58534
14.688	67.34697
15.504	67.86515
16.32	68.18719
17.136	68.34138
17.952	68.39926
18.768	68.42887
19.584	68.43964
20.4	68.43971
19.584	61.9235
18.768	55.66355
17.952	49.32879
17.136	43.02458
16.32	36.74549
15.504	30.50081
14.688	24.37127
13.872	18.52442
13.056	13.09642
12.24	8.34416
11.424	4.42062
10.608	1.15554
9.792	-1.42099
8.976	-3.53445
8.16	-5.46063
7.344	-7.21885
6.528	-8.8124
5.712	-10.25068
4.896	-11.54696
4.08	-12.71648
3.264	-13.77497
2.448	-14.73778
1.632	-15.61939
0.816	-16.433
2.9280023e-11	-17.19021
-0.816	-17.90142
-1.632	-18.57508
-2.448	-19.21776
-3.264	-19.83468
-4.08	-20.42946
-4.896	-22.60762
-5.712	-27.40932
-6.528	-32.02048
-7.344	-37.07201
-8.16	-41.67194
-8.976	-45.85402
-9.792	-49.57373
-10.608	-52.76291
-11.424	-55.37723
-12.24	-57.42283
-13.056	-59.02703
-13.872	-60.38231
-14.688	-61.62074
-15.504	-62.78337
-16.32	-63.81209
-17.136	-64.79876
-17.952	-65.63036
-18.768	-66.23333
-19.584	-66.70657
-20.4	-67.09842
-19.584	-60.72474
-18.768	-54.31653
-17.952	-47.96337
-17.136	-41.64257
-16.32	-35.35002
-15.504	-29.11713
-14.688	-23.01639
-13.872	-17.21214
-13.056	-12.0021
-12.24	-7.57502
-11.424	-3.65981
-10.608	-0.408116
-9.792	2.04811
-8.976	4.16883
-8.16	6.12593
-7.344	7.91313
-6.528	9.5314
-5.712	10.98821
-4.896	12.29578
-4.08	13.46922
-3.264	14.52474
-2.448	15.47829
-1.632	16.3451
-0.816	17.13864
-3.1019427e-11	17.871
0.816	18.55188
1.632	19.18913
2.448	19.78871
3.264	20.35483
4.08	20.89017
4.896	21.39605
5.712	23.43874
6.528	24.83956
7.344	31.13827
8.16	35.31751
8.976	39.05135
9.792	42.43044
10.608	45.42066
11.424	48.03522
12.24	50.31026
13.056	52.26963
13.872	53.97416
14.688	55.48778
15.504	56.86732
16.32	58.15692
17.136	59.38759
17.952	60.57567
18.768	61.71875
19.584	62.78052
20.4	63.68085
19.584	57.10819
18.768	51.00266
17.952	44.70601
17.136	38.44945
16.32	32.24681
15.504	26.14011
14.688	20.24784
13.872	14.81613
13.056	10.09267
12.24	5.86788
11.424	2.16008
10.608	-0.8489549
9.792	-3.17308
8.976	-5.22467
8.16	-7.10687
7.344	-8.81524
6.528	-10.35462
5.712	-11.73581
4.896	-12.97344
4.08	-14.08392
3.264	-15.08395
2.448	-15.98938
1.632	-16.81447
0.816	-17.57237
3.2758831e-11	-18.27388
-0.816	-18.92782
-1.632	-19.54114
-2.448	-20.11894
-3.264	-20.66463
-4.08	-21.18021
-4.896	-21.66646
-5.712	-23.27364
-6.528	-26.58356
-7.344	-31.27421
-8.16	-35.35012
-8.976	-39.05709
-9.792	-42.38654
-10.608	-45.34223
-11.424	-47.93587
-12.24	-50.19069
-13.056	-52.14125
-13.872	-53.84289
-14.688	-55.35668
-15.504	-56.73884
-16.32	-58.03244
-17.136	-59.26797
-17.952	-60.4616
-18.768	-61.61161
-19.584	-62.67619
-20.4	-63.54204
-19.584	-57.17521
-18.768	-50.87212
-17.952	-44.5675
-17.136	-38.30385
-16.32	-32.08316
-15.504	-25.95298
-14.688	-20.03243
-13.872	-14.59975
-13.056	-9.8873
-12.24	-5.68113
-11.424	-2.01411
-10.608	0.92488591
-9.792	3.20928
-8.976	5.25474
-8.16	7.1301
-7.344	8.83178
-6.528	10.36496
-5.712	11.74066
-4.896	12.97361
-4.08	14.08024
-3.264	15.07709
-2.448	15.98
-1.632	16.80321
-0.816	17.55964
-3.4498235e-11	18.26011
1.088	19.12169
2.176	19.91447
3.264	20.64839
4.352	21.32865
5.44	21.97271
6.528	26.01829
7.616	29.36589
8.704	36.70998
9.792	41.55023
10.88	45.48911
11.968	48.7994
13.056	51.53394
14.144	53.80146
15.232	55.74492
16.32	57.48903
17.408	59.12712
18.496	60.6927
19.584	62.17484
20.672	63.44464
21.76	64.29897
22.848	64.92178
23.936	65.3241
25.024	65.52271
26.112	65.5315
27.2	65.55953
26.112	57.15809
25.024	48.82044
23.936	40.57161
22.848	32.43716
21.76	24.51691
20.672	17.12908
19.584	10.60218
18.496	5.21183
17.408	1.03042
16.32	-2.20529
15.232	-4.60252
14.144	-6.50425
13.056	-8.16361
11.968	-9.62687
10.88	-10.92715
9.792	-12.0945
8.704	-13.15485
7.616	-14.12945
6.528	-15.03491
5.44	-15.88348
4.352	-16.68349
3.264	-17.43982
2.176	-18.15505
1.088	-18.82926
4.8316953e-11	-19.46078
-1.088	-20.04682
-2.176	-20.58384
-3.264	-21.06805
-4.352	-21.49611
-5.44	-21.86558
-6.528	-24.34181
-7.616	-25.55327
-8.704	-32.97661
-9.792	-37.86699
-10.88	-41.59768
-11.968	-44.70345
-13.056	-47.26448
-14.144	-49.41378
-15.232	-51.29162
-16.32	-53.00612
-17.408	-54.61919
-18.496	-56.17702
-19.584	-57.70313
-20.672	-59.20557
-21.76	-60.62604
-22.848	-61.87391
-23.936	-62.92003
-25.024	-63.70834
-26.112	-64.30576
-27.2	-64.69345
-26.112	-56.3001
-25.024	-47.94862
-23.936	-39.65739
-22.848	-31.45857
-21.76	-23.48066
-20.672	-16.02775
-19.584	-9.43951
-18.496	-3.97411
-17.408	0.23178138
-16.32	3.51935
-15.232	5.87917
-14.144	7.73814
-13.056	9.3574
-11.968	10.78064
-10.88	12.04046
-9.792	13.16611
-8.704	14.18223
-7.616	15.10843
-6.528	15.95932
-5.44	16.74525
-4.352	17.47248
-3.264	18.14464
-2.176	18.76275
-1.088	19.32631
-5.0636159e-11	19.83411
1.088	20.28492
2.176	20.67817
3.264	21.01453
4.352	21.29624
5.44	21.52697
6.528	23.18144
7.616	25.50819
8.704	29.81065
